price_in_aud,brand,year,made_in,body_type,engine_power_hp,torque_nm,no_of_cylinders,transmission_type,gear_box_speed,steering_type,kerb_weight_lbs,front_brake,rear_brake,mileage_in_city_mpg,mileage_on_highway_mpg,fuel_type,seating_capacity,fuel_tank_capacity_litres,no_of_doors
66528.0,Lexus,2022,United States,sedan,302.0,362.052,6.0,automatic,8,automatic,3690.0,disc,disc,22.0,32.0,gasoline,5,60.261,4
66744.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,6.0,automatic,8,automatic,3780.0,disc,disc,25.0,34.0,gasoline,5,60.261,4
65448.0,Lexus,2022,United States,sedan,302.0,362.052,6.0,automatic,8,automatic,3690.0,disc,disc,22.0,31.0,gasoline,5,60.261,4
71352.0,Lexus,2022,Canada,suv,290.0,356.62800000000004,6.0,automatic,8,automatic,4619.0,disc,disc,18.0,25.0,gasoline,7,72.768,4
65448.0,Lexus,2022,United States,suv,215.0,221.02800000000002,4.0,automatic,8,automatic,3730.0,disc,disc,43.0,44.0,hybrid,5,50.028,4
65448.0,Lexus,2022,United States,sedan,203.0,249.50400000000002,4.0,automatic,8,automatic,3780.0,disc,disc,25.0,34.0,gasoline,5,60.261,4
50904.0,Lexus,2022,Japan,suv,204.0,299.67600000000004,6.0,automatic,8,power,4188.0,disc,disc,20.0,26.0,electric,5,68.22,4
125136.0,Lexus,2022,Japan,suv,409.0,649.524,8.0,automatic,8,automatic,3975.0,disc,disc,12.0,16.0,gasoline,5,93.23400000000001,4
67176.0,Lexus,2022,Japan,suv,275.0,429.85200000000003,4.0,automatic,8,power,4180.0,disc,disc,33.0,30.0,premium,5,56.092000000000006,4
97056.0,Lexus,2022,Japan,sedan,472.0,535.62,8.0,automatic,8,power,3748.0,disc,disc,20.0,28.0,gasoline,5,65.946,4
87840.0,Lexus,2022,Japan,sedan,472.0,535.62,8.0,automatic,8,power,3748.0,disc,disc,20.0,28.0,gasoline,5,65.946,4
81360.0,Lexus,2022,Japan,sedan,472.0,535.62,8.0,automatic,8,power,3748.0,disc,disc,20.0,28.0,gasoline,5,65.946,4
86400.0,Lexus,2022,Japan,sedan,472.0,535.62,8.0,automatic,8,power,3748.0,disc,disc,20.0,28.0,gasoline,5,65.946,4
59112.0,Lexus,2022,Japan,suv,240.0,226.45200000000003,4.0,automatic,8,power,4080.0,disc,disc,41.0,37.0,premium,5,54.955,4
59832.0,Lexus,2022,Japan,suv,275.0,429.85200000000003,4.0,automatic,8,power,4035.0,disc,disc,22.0,29.0,premium,5,54.955,4
77213.0,Lexus,2022,Japan,coupe,311.0,379.68,6.0,automatic,6,power,3891.0,disc,disc,19.0,26.0,gasoline,4,65.946,2
71813.0,Lexus,2022,Japan,coupe,311.0,379.68,6.0,automatic,8,power,3748.0,disc,disc,20.0,28.0,gasoline,4,65.946,2
59112.0,Lexus,2022,Japan,suv,240.0,226.45200000000003,4.0,automatic,8,power,4080.0,disc,disc,41.0,37.0,premium,5,54.955,4
67594.0,Lexus,2022,Japan,coupe,260.0,320.016,4.0,automatic,6,power,3891.0,disc,disc,19.0,26.0,gasoline,4,65.946,2
69970.0,Lexus,2022,Japan,coupe,241.0,349.848,4.0,automatic,8,power,3737.0,disc,disc,21.0,31.0,gasoline,4,65.946,2
48456.0,Hyundai,2022,South Korea,sedan,276.0,391.884,4.0,automatic,8,power,3296.0,disc,disc,20.0,30.0,gasoline,5,46.996,4
12960.0,Hyundai,2022,South Korean,hatchback,290.0,400.02000000000004,4.0,manual,5,power,2061.0,disc,drum,13.0,15.0,gasoline,5,140.23,4
28094.0,Hyundai,2022,South Korean,sedan,290.0,400.02000000000004,4.0,automatic,6,power,2574.0,disc,drum,16.0,18.0,diesel,5,170.55,4
